,word,large_1,large_2
0,методов уменьшения размерностей,методов уменьшения,методов уменьшения размерностей
1,методы поиска групп,методы поиска,методы поиска групп
2,оценку структуры,оценку структуры,оценку структуры  
3,далее темы,далее темы,далее темы
4,изучение области визуализации,изучение области,изучение области визуализации
5,интерактивные методы,интерактивные,интерактивные методы
6,современные методы,современные методы,современные методы
7,другие методы, другие методы, другие методы
8,структура алгоритмов уменьшения размерности,структура алгорит,структура алгоритмов уменьшения размерности
9,навыки использования технологий,навыки,навыки использования технологий
10,задачами практики,задачи практики,задачи практики
11,эффективность использования стратегии,эффективность использования,эффективность использования стратегии
12,техники спбгэту,`техника спбгэту`,техника спбгэту
13,курс посвящен,курс посвящен,курс посвящен
14,индустрия,индустрия,индустрия
15,направлений индустрии,направлений,направлений индустрии
16,посвящен проблемам,проблемы -,проблемы  
17,проблемам четвертой,проблемам,проблемам четвертой
18,области индустрии,области индустрии,области индустрии
19,упрощения решения задачи навигации,упрощения,упрощения решения задачи навигации
20,вопросы коммуникации устройств,вопросы,вопросы коммуникации устройств
21,направление развития дисциплины,направление развития,направление развития дисциплины
22,повышение производительности,повышение,повышение производительности
23,критерию экономии управления,критерию,критерию эффективности  
24,объекта управления,объект управления,объект управления
25,определение оптимального,определение оптим,определение оптимального
26,методы поиска экстремума функции,методы поиска,методы поиска экстремума функции
27,оптимальные системы управления,оптимальные,оптимальные системы управления
28,типовых задач оптимизации, типовые задачи оптимизации, типовые задачи оптимизации
29,классических задач оптимизации,классических,классических задач оптимизации
30,значений параметров управления,значений параметров,значений параметров управления
31,теория оптимального,теория оптим,теория оптимального
32,формулировка задачи оптимизации,формулировка задачи,формулировка задачи оптимизации
33,особенностей проведения изменений, особенности проведения изменений, особенности проведения изменений
34,методов проведения изменений,методов проведения,методов проведения изменений
35,уровни осуществления изменений,уровни осуществления,уровни осуществления изменений
36,проблемы управления процессами изменений,проблемы управления,проблемы управления процессами изменений
37,оценки проектов изменений,оценки проектов,оценки проектов изменений
38,практики управления процессами изменений,практики управления,практики управления процессами изменений
39,важной роли изменений,важной роли,важной роли изменений  
40,внутренние причины изменений,внутренние,внутренние причины изменений
41,классификация изменений,классификация,классификация изменений
42,особенностей развития теорий изменений, особенности развития теорий измененийот, особенности развития теорий изменений
43,закономерностей развития процессов изменений,закономер,закономерности развития процессов изменений
44,изменениями,изменениями,изменениями
45,проведения организационных,проведение,проведение организационных
46,технические средства,технические средства,технические средства
47,систем управления,системный блок,системный блок  системный блок
48,формирования алгоритмов управления,формирования алгорит,формирования алгоритмов управления
49,решения задач автоматизации,решения задач,решения задач автоматизации
50,средства получения информации,средства получения,средства получения информации
51,современных систем автоматизации,современных систем,современных систем автоматизации
52,состоянии объекта автоматизации,состояние объекта,состояние объекта автоматизации
53,средства обработки информации,средства обработки,средства обработки информации
54,структуры систем автоматизации,структуры систем,структуры систем автоматизации
55,бизнес-процессами,бизнес-,бизнес-процессами
56,разработка системы бп,разработка системы,разработка системы бп
57,показатели управления бп,qbbjad,qbbjad
58,процессы управления бп,процессы управления,процессы управления бп
59,анализ выполнения бп,````````````,
60,анализ системы управления бп,анализ системы,анализ системы управления бп
61,разработке систем управления бп,разработке систем,разработке систем управления бп
62,методика формирования схем бп,методика формирования,методика формирования схем бп
63,выбор методологии описания бп,выбор методологии,выбор методологии описания бп
64,управления архитектурой бизнес-процессов,управления архитек,управления архитектурой бизнес-процессов
65,анализ показателей бп,qbbjad,qbbjad
66,цели описания бп, цели описания бп, цели описания бп
67,деминга-шухарта pdca,qdca,qdca
68,развитие теории управления,развитие теории,развитие теории управления
69,задачи теории управления,задачи теории,задачи теории управления  
70,идей теории управления,идей теории,идей теории управления
71,чувствительность систем управления,чувствительность,чувствительность систем управления
72,модели систем управления,модели систем,модели систем управления
73,современной теории управления,современная теория,современная теория управления
74,развитие теории систем управления с. синергетика,развитие теории,развитие теории систем управления с. синергетика
75,формирование теории,формирование теории,формирование теории
76,автоматического регулирования,автоматическое,автоматическое регулирование
77,оценки качества процессов управления,оценки качества,оценки качества процессов управления
78,теории автоматического,теория автоматического,теория автоматического
79,оценка воздействия проекта,оценка воздействия,оценка воздействия проекта
80,оценки проекта цели,оценки проекта,оценки проекта цели
81,организация финансирования проекта,организация финансирования,организация финансирования проекта
82,управлении проектами компании,управление проектами,управление проектами компании
83,навыков проведения оценки жизнеспособности проекта,навыков,навыков проведения оценки жизнеспособности проекта
84,процессы управления ресурсами проекта,процессы управления,процессы управления ресурсами проекта
85,вопросов управления проектами,вопросов,вопросов управления проектами
86,методологии управления проектами,методологии управления,методологии управления проектами
87,показатели оценки эффективности проекта,показатели,показатели оценки эффективности проекта
88,управление стоимостью it- проекта,управление стоимостью,управление стоимостью it- проекта
89,оценка хода проекта,оценка хода,оценка хода проекта
90,финансового анализа,финансовый,финансовый анализ
91,it-проекта,it-проект,it-проект
92,анализа моделей систем,анализ моделей,анализ моделей систем
93,оценки характеристик систем,оценки характеристик,оценки характеристик систем
94,многомерная системная аналитика,многомер,многомерная системная аналитика
95,предсказательная аналитика,предсказательная,предсказательная аналитика
96,недоопределенное моделирование,недооп,недоопределенное моделирование
97,основе знания,основе знания,основе знания
98,применение модели,применение модели,применение модели
99,заре робототехники,заре роб,заре робототехники
