,word,large_without_trash
0,методов уменьшения размерностей,методов уменьшения размерностей
1,методы поиска групп,
2,оценку структуры,оценку структуры
3,далее темы,далее темы
4,изучение области визуализации,изучение области визуализации
5,интерактивные методы,интерактивные методы
6,современные методы,современные методы
7,другие методы, другие методы
8,структура алгоритмов уменьшения размерности,структура алгоритмов уменьшения размерности
9,навыки использования технологий,навыки использования технологий
10,задачами практики,задачи практики
11,эффективность использования стратегии,эффективность использования стратегии
12,техники спбгэту,техники спбгэту
13,курс посвящен,курс посвящен
14,индустрия,индустрия
15,направлений индустрии,направлений индустрии
16,посвящен проблемам,проблемы  
17,проблемам четвертой,проблемам четвертой
18,области индустрии,области индустрии
19,упрощения решения задачи навигации,упрощения решения задачи навигации
20,вопросы коммуникации устройств,вопросы коммуникации устройств
21,направление развития дисциплины,направление развития дисциплины
22,повышение производительности,повышение производительности
23,критерию экономии управления,критерию экономии управления
24,объекта управления,объект управления
25,определение оптимального,определение оптимального
26,методы поиска экстремума функции,
27,оптимальные системы управления,оптимальные системы управления
28,типовых задач оптимизации,типовых задач оптимизации
29,классических задач оптимизации,классических задач оптимизации
30,значений параметров управления,значений параметров управления
31,теория оптимального,теория оптимального
32,формулировка задачи оптимизации,формулировка задачи оптимизации
33,особенностей проведения изменений, особенности проведения изменений
34,методов проведения изменений,методов проведения изменений
35,уровни осуществления изменений,уровни осуществления изменений
36,проблемы управления процессами изменений,проблемы управления процессами изменений
37,оценки проектов изменений,оценки проектов изменений
38,практики управления процессами изменений,практики управления процессами изменений
39,важной роли изменений,важной роли изменений
40,внутренние причины изменений,внутренние причины изменений
41,классификация изменений,классификация изменений
42,особенностей развития теорий изменений, особенности развития теорий изменений
43,закономерностей развития процессов изменений,закономерности развития процессов изменений
44,изменениями,изменениями
45,проведения организационных,проведение организационных
46,технические средства,технические средства
47,систем управления,системный подход  системный подход
48,формирования алгоритмов управления,формирования алгоритмов управления
49,решения задач автоматизации,решения задач автоматизации
50,средства получения информации,средства получения информации
51,современных систем автоматизации,современных систем автоматизации
52,состоянии объекта автоматизации,состояние объекта автоматизации
53,средства обработки информации,средства обработки информации
54,структуры систем автоматизации,структуры систем автоматизации
55,бизнес-процессами,бизнес-процессы
56,разработка системы бп,разработка системы бп
57,показатели управления бп,показатели управления бп
58,процессы управления бп,процессы управления бп
59,анализ выполнения бп,
60,анализ системы управления бп,анализ системы управления бп
61,разработке систем управления бп,разработке систем управления бп
62,методика формирования схем бп,методика формирования схем бп
63,выбор методологии описания бп,
64,управления архитектурой бизнес-процессов,управления архитектурой бизнес-процессов
65,анализ показателей бп,анализ показателей бп
66,цели описания бп, цели описания бп
67,деминга-шухарта pdca,qt
68,развитие теории управления,развитие теории управления
69,задачи теории управления,задачи теории управления
70,идей теории управления,идей теории управления
71,чувствительность систем управления,чувствительность систем управления
72,модели систем управления,модели систем управления
73,современной теории управления,современная теория управления
74,развитие теории систем управления с. синергетика,развитие теории систем управления с. синергетика
75,формирование теории,формирование теории
76,автоматического регулирования,автоматическое регулирование
77,оценки качества процессов управления,оценки качества процессов управления
78,теории автоматического,теории проектирования  теория проектирования
79,оценка воздействия проекта,оценка воздействия проекта
80,оценки проекта цели,оценки проекта цели
81,организация финансирования проекта,организация финансирования проекта
82,управлении проектами компании,управление проектами компании
83,навыков проведения оценки жизнеспособности проекта,практические навыки проведения оценки жизнеспособности проекта
84,процессы управления ресурсами проекта,процессы управления ресурсами проекта
85,вопросов управления проектами,вопросов управления проектами
86,методологии управления проектами,методологии управления проектами
87,показатели оценки эффективности проекта,показатели оценки эффективности проекта
88,управление стоимостью it- проекта,управление стоимостью it- проекта
89,оценка хода проекта,оценка хода проекта
90,финансового анализа,финансовый анализ
91,it-проекта,it-проект
92,анализа моделей систем,анализа моделей систем
93,оценки характеристик систем,оценки характеристик систем
94,многомерная системная аналитика,многомерная системная аналитика
95,предсказательная аналитика,предсказательная аналитика
96,недоопределенное моделирование,недоопределенное моделирование
97,основе знания,основе знания
98,применение модели,
99,заре робототехники,заре робототехники
