word,result,identical
методов уменьшения размерностей,методов уменьшения размерностей,True
методы поиска групп,методы поиска групп,True
оценку структуры,оценку структуры,True
далее темы,далее темы,True
изучение области визуализации,изучение области визуализации,True
интерактивные методы,интерактивные методы,True
современные методы,современные методы,True
другие методы, другие методы,False
структура алгоритмов уменьшения размерности,структура алгоритмов уменьшения размерности,True
навыки использования технологий,навыки использования технологий,True
задачами практики,задачи практики,False
эффективность использования стратегии,эффективность использования стратегии,True
техники спбгэту,техники спбгэту,True
курс посвящен,курс посвящен,True
индустрия,индустрия,True
направлений индустрии,направления индустрии,False
посвящен проблемам,посвящен проблемам,True
проблемам четвертой,проблемам четвертой,True
области индустрии,области индустрии,True
упрощения решения задачи навигации,упрощения решения задачи навигации,True
вопросы коммуникации устройств,вопросы коммуникации устройств,True
направление развития дисциплины,направление развития дисциплины,True
повышение производительности,повышение производительности,True
критерию экономии управления,критерию экономии управления,True
объекта управления,объект управления  ,False
определение оптимального,определение оптимального,True
методы поиска экстремума функции,методы поиска экстремума функции,True
оптимальные системы управления,оптимальные системы управления,True
типовых задач оптимизации,типовых задач оптимизации,True
классических задач оптимизации,классические задачи оптимизации,False
значений параметров управления,значений параметров управления  ,False
теория оптимального,теория оптимального,True
формулировка задачи оптимизации,формулировка задачи оптимизации,True
особенностей проведения изменений, особенности проведения изменений,False
методов проведения изменений,методов проведения изменений,True
уровни осуществления изменений,уровни осуществления изменений,True
проблемы управления процессами изменений,проблемы управления процессами изменений,True
оценки проектов изменений,оценки проектов изменений,True
практики управления процессами изменений,практики управления процессами изменений,True
важной роли изменений,важной роли изменений,True
внутренние причины изменений,внутренние причины изменений,True
классификация изменений,классификация изменений,True
особенностей развития теорий изменений, особенности развития теорий изменений,False
закономерностей развития процессов изменений,закономерности развития процессов изменений,False
изменениями,изменениями,True
проведения организационных,проведение организационных,False
технические средства,технические средства,True
систем управления,системы управления,False
формирования алгоритмов управления,формирования алгоритмов управления,True
решения задач автоматизации,решения задач автоматизации  ,False
средства получения информации,средства получения информации,True
современных систем автоматизации,современных систем автоматизации,True
состоянии объекта автоматизации,состоянии объекта автоматизации  ,False
средства обработки информации,средства обработки информации,True
структуры систем автоматизации,структуры систем автоматизации,True
бизнес-процессами,бизнес-процессами,True
разработка системы бп,разработка системы бп,True
показатели управления бп,показатели управления бп,True
процессы управления бп,процессы управления бп,True
анализ выполнения бп,анализ выполнения бп,True
анализ системы управления бп,анализ системы управления бп,True
разработке систем управления бп,разработке систем управления бп,True
методика формирования схем бп,методика формирования схем бп,True
выбор методологии описания бп,выбор методологии описания бп,True
управления архитектурой бизнес-процессов,управления архитектурой бизнес-процессов,True
анализ показателей бп,анализ показателей бп,True
цели описания бп, цели описания бп,False
деминга-шухарта pdca,деминга-шухарта pdca,True
развитие теории управления,развитие теории управления,True
задачи теории управления,задачи теории управления,True
идей теории управления,идей теории управления  ,False
чувствительность систем управления,чувствительность систем управления,True
модели систем управления,модели систем управления,True
современной теории управления,современной теории управления,True
развитие теории систем управления с. синергетика,развитие теории систем управления с. синергетика,True
формирование теории,формирование теории,True
автоматического регулирования,автоматического регулирования,True
оценки качества процессов управления,оценки качества процессов управления,True
теории автоматического,теории автоматического,True
оценка воздействия проекта,оценка воздействия проекта,True
оценки проекта цели,оценки проекта цели,True
организация финансирования проекта,организация финансирования проекта,True
управлении проектами компании,управление проектами компании,False
навыков проведения оценки жизнеспособности проекта,навыков проведения оценки жизнеспособности проекта,True
процессы управления ресурсами проекта,процессы управления ресурсами проекта,True
вопросов управления проектами,вопросов управления проектами  ,False
методологии управления проектами,методологии управления проектами,True
